"dc (V)","/M1/D (A)"
0.00000,128.8E-12
10.0E-3,128.8E-12
20.0E-3,128.9E-12
30.0E-3,128.9E-12
40.0E-3,128.9E-12
50.0E-3,128.9E-12
60.0E-3,128.9E-12
70.0E-3,129.0E-12
80.0E-3,129.0E-12
90.0E-3,129.1E-12
100.0E-3,129.2E-12
110.0E-3,129.3E-12
120.0E-3,129.4E-12
130.0E-3,129.6E-12
140.0E-3,129.9E-12
150.0E-3,130.2E-12
160.0E-3,130.7E-12
170.0E-3,131.3E-12
180.0E-3,132.0E-12
190.0E-3,133.0E-12
200.0E-3,134.3E-12
210.0E-3,135.9E-12
220.0E-3,137.9E-12
230.0E-3,140.4E-12
240.0E-3,143.6E-12
250.0E-3,147.5E-12
260.0E-3,152.4E-12
270.0E-3,158.4E-12
280.0E-3,165.8E-12
290.0E-3,174.7E-12
300.0E-3,185.7E-12
310.0E-3,198.9E-12
320.0E-3,214.9E-12
330.0E-3,234.2E-12
340.0E-3,257.5E-12
350.0E-3,285.6E-12
360.0E-3,319.5E-12
370.0E-3,360.6E-12
380.0E-3,410.3E-12
390.0E-3,470.9E-12
400.0E-3,544.7E-12
410.0E-3,635.0E-12
420.0E-3,745.9E-12
430.0E-3,882.7E-12
440.0E-3,1.052E-9
450.0E-3,1.263E-9
460.0E-3,1.527E-9
470.0E-3,1.859E-9
480.0E-3,2.278E-9
490.0E-3,2.81E-9
500.0E-3,3.488E-9
510.0E-3,4.356E-9
520.0E-3,5.475E-9
530.0E-3,6.921E-9
540.0E-3,8.797E-9
550.0E-3,11.24E-9
560.0E-3,14.42E-9
570.0E-3,18.58E-9
580.0E-3,24.02E-9
590.0E-3,31.12E-9
600.0E-3,40.39E-9
610.0E-3,52.49E-9
620.0E-3,68.27E-9
630.0E-3,88.83E-9
640.0E-3,115.7E-9
650.0E-3,150.6E-9
660.0E-3,196.3E-9
670.0E-3,255.9E-9
680.0E-3,333.7E-9
690.0E-3,435.3E-9
700.0E-3,567.5E-9
710.0E-3,739.1E-9
720.0E-3,961.1E-9
730.0E-3,1.247E-6
740.0E-3,1.612E-6
750.0E-3,2.078E-6
760.0E-3,2.669E-6
770.0E-3,3.42E-6
780.0E-3,4.379E-6
790.0E-3,5.627E-6
800.0E-3,7.323E-6
810.0E-3,9.877E-6
820.0E-3,15.48E-6
830.0E-3,115.5E-6
840.0E-3,160.1E-6
850.0E-3,170.7E-6
860.0E-3,177.2E-6
870.0E-3,181.9E-6
880.0E-3,185.6E-6
890.0E-3,188.6E-6
900.0E-3,191.2E-6
910.0E-3,193.3E-6
920.0E-3,195.2E-6
930.0E-3,196.9E-6
940.0E-3,198.3E-6
950.0E-3,199.6E-6
960.0E-3,200.7E-6
970.0E-3,201.6E-6
980.0E-3,202.4E-6
990.0E-3,203.1E-6
1.000,203.7E-6
